country_name,iso3code,life_expectancy,urban_pop_pct,internet_users_pct,unemployment_pct,electricity_access_pct,population_density
Ireland,IRL,83.01,64.59,97.19,4.63,100.00,77.10
Isle of Man,IMN,81.09,52.14,,,100.00,147.66
Israel,ISR,83.20,91.58,88.18,3.49,100.00,455.13
Italy,ITA,83.95,69.68,89.22,6.39,100.00,199.46
Jamaica,JAM,71.61,59.43,90.11,3.29,97.70,262.21
Japan,JPN,84.04,92.30,85.54,2.45,100.00,341.54
Jordan,JOR,77.98,93.21,95.62,16.54,100.00,128.83
Kazakhstan,KAZ,74.53,62.39,93.39,4.77,100.00,7.53
Kenya,KEN,63.83,32.21,34.98,5.45,77.00,95.27
Kiribati,KIR,66.60,63.39,89.44,,97.70,163.62
"Korea, Dem. People's Rep.",PRK,73.74,64.19,0.00,3.55,61.40,219.40
"Korea, Rep.",KOR,83.63,81.17,97.90,2.68,100.00,529.84
Kosovo,XKX,78.22,50.93,89.44,,100.00,
Kuwait,KWT,84.58,100.00,100.00,2.18,100.00,272.36
Kyrgyz Republic,KGZ,72.40,34.75,92.03,3.53,100.00,37.02
Lao PDR,LAO,69.23,40.31,65.59,1.19,96.50,33.21
Latvia,LVA,76.43,68.63,92.71,6.57,100.00,30.27
Lebanon,LBN,77.95,90.96,80.63,10.99,100.00,564.37
Lesotho,LSO,57.80,44.67,51.80,16.32,60.60,76.14
Liberia,LBR,62.32,56.08,32.23,2.88,34.90,57.03
Libya,LBY,71.12,87.91,81.95,18.76,77.40,4.15
Liechtenstein,LIE,84.20,14.63,98.26,,100.00,249.04
Lithuania,LTU,77.20,69.08,89.16,6.73,100.00,45.87
Luxembourg,LUX,83.20,94.88,99.13,6.34,100.00,258.86
"Macao SAR, China",MAC,83.33,100.00,89.83,2.35,100.00,20569.70
Madagascar,MDG,63.84,32.90,18.68,3.04,42.50,53.62
Malawi,MWI,67.56,17.59,18.96,5.07,15.60,223.85
Malaysia,MYS,76.82,77.39,98.02,3.76,100.00,106.91
Maldives,MDV,81.29,42.51,85.24,4.51,100.00,1765.08
Mali,MLI,60.68,32.21,36.80,2.83,49.50,19.48
Malta,MLT,82.96,95.68,93.86,2.90,100.00,1727.33
Marshall Islands,MHL,67.08,79.11,65.92,,97.20,215.71
Mauritania,MRT,68.71,61.49,45.78,10.32,52.20,4.87
Mauritius,MUS,73.79,39.04,73.31,5.64,100.00,625.26
Mexico,MEX,75.26,80.04,83.12,2.67,99.80,66.74
"Micronesia, Fed. Sts.",FSM,67.36,22.48,39.52,,88.90,160.90
Moldova,MDA,71.33,43.73,77.37,1.51,100.00,85.44
Monaco,MCO,86.50,100.00,99.04,,100.00,18692.90
Mongolia,MNG,72.40,71.15,85.12,5.23,99.10,2.23
Montenegro,MNE,77.89,65.61,88.88,13.57,100.00,46.36
Morocco,MAR,75.49,63.13,91.20,9.00,100.00,84.50
Mozambique,MOZ,63.80,37.21,20.53,6.63,36.90,42.77
Myanmar,MMR,67.10,30.58,45.45,3.05,80.40,82.94
Namibia,NAM,67.52,50.87,64.87,19.29,59.30,3.60
Naoero,NRU,62.28,100.00,83.01,,100.00,593.75
Nepal,NPL,70.64,67.00,46.32,10.47,97.90,207.15
Netherlands,NLD,81.97,95.94,97.01,3.87,100.00,530.95
New Caledonia,NCL,78.92,68.17,82.01,11.17,100.00,15.86
New Zealand,NZL,82.01,84.00,93.52,5.08,100.00,19.75
Nicaragua,NIC,75.10,59.44,61.40,5.04,88.70,56.70
Niger,NER,61.43,18.37,15.56,0.39,21.30,20.65
Nigeria,NGA,54.64,63.78,41.21,3.06,62.50,250.21
North Macedonia,MKD,76.62,62.89,93.10,12.26,100.00,72.47
Northern Mariana Islands,MNP,78.95,92.18,0.00,,100.00,98.14
Norway,NOR,83.16,83.57,99.00,4.64,100.00,15.15
Oman,OMN,80.25,79.48,95.25,3.25,100.00,16.31
Pakistan,PAK,67.80,39.53,57.25,5.42,95.70,321.07
Palau,PLW,69.38,79.28,83.93,,100.00,38.54
Panama,PAN,79.78,66.15,72.77,8.36,96.00,60.11
Papua New Guinea,PNG,66.26,15.78,18.81,2.57,43.30,22.94
Paraguay,PRY,73.98,70.39,81.58,4.80,99.80,17.28
Peru,PER,77.94,85.60,81.96,5.12,96.50,26.44
Philippines,PHL,69.95,55.77,67.26,2.24,94.80,385.32
Poland,POL,78.41,60.09,88.58,2.98,100.00,119.79
Portugal,PRT,82.38,61.50,88.49,6.16,100.00,115.48
Puerto Rico (US),PRI,81.90,94.34,87.29,5.99,100.00,361.19
